REPORTED_DATE,TRAVEL,CLOSE_CONTACT
2020-03-14,1,1
2020-03-16,2,2
2020-03-19,1,1
2020-03-20,1,1
2020-03-21,3,3
2020-03-22,3,3
2020-03-23,5,5
2020-03-24,1,1
2020-03-25,5,5
2020-03-26,2,2
2020-03-27,3,3
2020-03-28,1,1
2020-03-30,1,1
2020-03-30,3,3
2020-04-01,1,1
2020-04-01,2,2
2020-04-02,2,2
2020-04-03,1,1
2020-04-04,1,1
2020-04-04,1,1
2020-04-05,3,3
2020-04-05,1,1
2020-04-06,1,1
2020-04-07,2,2
2020-04-08,2,2
2020-04-08,2,2
2020-04-09,1,1
2020-04-10,1,1
2020-04-10,1,1
2020-04-11,1,1
2020-04-12,2,2
2020-04-14,2,2
2020-05-06,1,1
2020-05-28,1,1
2020-07-10,1,1
2020-07-21,1,1
2020-07-22,1,1
2020-07-23,1,1
2020-07-25,1,1
2020-08-07,1,1
2020-08-10,1,1
2020-08-27,1,1
2020-09-05,1,1
2020-09-12,1,1
2020-09-18,1,1
2020-09-27,1,1
2020-09-30,1,1
2020-10-01,1,1
2020-10-03,1,1
2020-10-04,1,1
2020-10-09,1,1
2020-10-09,1,1
2020-10-12,1,1
2020-10-15,1,1
2020-10-15,2,2
2020-10-16,1,1
2020-10-21,1,1
2020-10-23,1,1
2020-10-24,1,1
2020-10-25,1,1
2020-11-03,1,1
2020-11-04,2,2
2020-11-07,2,2
2020-11-10,2,2
2020-11-13,1,1
2020-11-14,4,4
2020-11-17,2,2
2020-11-17,1,1
2020-11-20,2,2
2020-11-20,1,1
2020-11-21,1,1
2020-11-22,1,1
2020-11-23,1,1
2020-11-23,1,1
2020-11-25,2,2
2020-11-26,2,2
2020-11-27,1,1
2020-11-28,2,2
2020-11-29,2,2
2020-11-29,2,2
2020-12-01,2,2
2020-12-03,2,2
2020-12-04,1,1
2020-12-04,2,2
2020-12-05,1,1
2020-12-06,3,3
2020-12-08,2,2
2020-12-11,1,1
2020-12-11,1,1
2020-12-12,1,1
2020-12-13,1,1
2020-12-14,1,1
2020-12-15,2,2
2020-12-16,3,3
2020-12-17,4,4
2020-12-17,1,1
2020-12-18,7,7
